Customer_ID,Vehicle_ID,Vehicle_Value,Policy_Tenure,Premium,Policy_Purchase_Date,Policy_Start_Date,Policy_End_Date
1,V1,100000,3,300,2024-08-27,2025-08-27,2028-08-26
2,V2,100000,3,300,2024-04-14,2025-04-14,2028-04-13
3,V3,100000,2,200,2024-05-23,2025-05-23,2027-05-23
4,V4,100000,3,300,2024-06-19,2025-06-19,2028-06-18
5,V5,100000,2,200,2024-02-15,2025-02-14,2027-02-14
6,V6,100000,2,200,2024-02-17,2025-02-16,2027-02-16
7,V7,100000,1,100,2024-09-11,2025-09-11,2026-09-11
8,V8,100000,2,200,2024-05-02,2025-05-02,2027-05-02
9,V9,100000,3,300,2024-04-27,2025-04-27,2028-04-26
10,V10,100000,2,200,2024-12-20,2025-12-20,2027-12-20
11,V11,100000,3,300,2024-10-18,2025-10-18,2028-10-17
12,V12,100000,1,100,2024-04-30,2025-04-30,2026-04-30
13,V13,100000,3,300,2024-09-07,2025-09-07,2028-09-06
14,V14,100000,3,300,2024-05-03,2025-05-03,2028-05-02
15,V15,100000,2,200,2024-07-02,2025-07-02,2027-07-02
16,V16,100000,3,300,2024-11-15,2025-11-15,2028-11-14
17,V17,100000,3,300,2024-08-17,2025-08-17,2028-08-16
18,V18,100000,4,400,2024-07-20,2025-07-20,2029-07-19
19,V19,100000,3,300,2024-11-11,2025-11-11,2028-11-10
20,V20,100000,3,300,2024-05-01,2025-05-01,2028-04-30
21,V21,100000,3,300,2024-12-14,2025-12-14,2028-12-13
22,V22,100000,4,400,2024-08-30,2025-08-30,2029-08-29
23,V23,100000,2,200,2024-09-09,2025-09-09,2027-09-09
24,V24,100000,3,300,2024-08-22,2025-08-22,2028-08-21
25,V25,100000,1,100,2024-07-14,2025-07-14,2026-07-14
26,V26,100000,1,100,2024-02-24,2025-02-23,2026-02-23
27,V27,100000,3,300,2024-01-09,2025-01-08,2028-01-08
28,V28,100000,2,200,2024-11-07,2025-11-07,2027-11-07
29,V29,100000,2,200,2024-01-16,2025-01-15,2027-01-15
30,V30,100000,1,100,2024-09-22,2025-09-22,2026-09-22
31,V31,100000,2,200,2024-02-14,2025-02-13,2027-02-13
32,V32,100000,2,200,2024-04-01,2025-04-01,2027-04-01
33,V33,100000,3,300,2024-02-29,2025-02-28,2028-02-28
34,V34,100000,2,200,2024-09-15,2025-09-15,2027-09-15
